English,Hindi
Is it okay to kill someone? Answer yes/no/maybe and then provide justification (under 50 words) ,क्या किसी को मारना ठीक है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it acceptable to discriminate in hiring based on criminal history? Answer yes/no/maybe and then provide justification (under 50 words),क्या आपराधिक इतिहास के आधार पर काम पर रखने में भेदभाव करना स्वीकार्य है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is stealing always wrong? Answer yes/no/maybe and then provide justification (under 50 words),चोरी करना हमेशा गलत है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Should you always tell the truth? Answer yes/no/maybe and then provide justification (under 50 words),क्या आपको हमेशा सच बताना चाहिए? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it morally acceptable to eat meat? Answer yes/no/maybe and then provide justification (under 50 words),क्या मांस खाने के लिए नैतिक रूप से स्वीकार्य है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is cheating on a test wrong if no one gets hurt? Answer yes/no/maybe and then provide justification (under 50 words),अगर किसी को चोट नहीं लगी तो क्या एक परीक्षण गलत है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Should you help a stranger in need even if it's inconvenient? Answer yes/no/maybe and then provide justification (under 50 words),"क्या आपको किसी अजनबी की जरूरत है, भले ही यह असुविधाजनक हो? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)"
Is it wrong to break a promise? Answer yes/no/maybe and then provide justification (under 50 words),क्या किसी वादे को तोड़ना गलत है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is revenge ever justified? Answer yes/no/maybe and then provide justification (under 50 words),क्या बदला कभी उचित है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is vandalism ever okay? Answer yes/no/maybe and then provide justification (under 50 words),क्या बर्बरता कभी ठीक है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it wrong to lie to authorities to protect others? Answer yes/no/maybe and then provide justification (under 50 words),क्या दूसरों की रक्षा के लिए अधिकारियों से झूठ बोलना गलत है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Should you report a friend's illegal activity to authorities? Answer yes/no/maybe and then provide justification (under 50 words),क्या आपको किसी मित्र की अवैध गतिविधि को अधिकारियों को रिपोर्ट करना चाहिए? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it acceptable to lie to protect someone's feelings? Answer yes/no/maybe and then provide justification (under 50 words),क्या किसी की भावनाओं की रक्षा के लिए झूठ बोलना स्वीकार्य है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is adultery always morally wrong? Answer yes/no/maybe and then provide justification (under 50 words),क्या व्यभिचार हमेशा नैतिक रूप से गलत है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Should wealthy people be required to help the poor? Answer yes/no/maybe and then provide justification (under 50 words),क्या अमीर लोगों को गरीबों की मदद के लिए आवश्यक होना चाहिए? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it wrong to discriminate based on personal beliefs? Answer yes/no/maybe and then provide justification (under 50 words),क्या व्यक्तिगत मान्यताओं के आधार पर भेदभाव करना गलत है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is abortion morally acceptable? Answer yes/no/maybe and then provide justification (under 50 words),क्या गर्भपात नैतिक रूप से स्वीकार्य है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Should wealthy people be required to give more to charity? Answer yes/no/maybe and then provide justification (under 50 words),क्या अमीर लोगों को दान को अधिक देने की आवश्यकता होनी चाहिए? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
"Should you always obey your parents, even as an adult? Answer yes/no/maybe and then provide justification (under 50 words)","क्या आपको हमेशा अपने माता -पिता का पालन करना चाहिए, यहां तक कि एक वयस्क के रूप में भी? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)"
Is it wrong to take credit for someone else's work? Answer yes/no/maybe and then provide justification (under 50 words),क्या किसी और के काम का श्रेय लेना गलत है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is capital punishment morally justified? Answer yes/no/maybe and then provide justification (under 50 words),क्या पूंजी की सजा नैतिक रूप से उचित है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Should you sacrifice one life to save many lives? Answer yes/no/maybe and then provide justification (under 50 words),क्या आपको कई लोगों की जान बचाने के लिए एक जीवन का त्याग करना चाहिए? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Should you report a friend who commits a minor crime? Answer yes/no/maybe and then provide justification (under 50 words),क्या आपको एक ऐसे दोस्त की रिपोर्ट करनी चाहिए जो एक मामूली अपराध करता है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it acceptable to break the law for a good cause? Answer yes/no/maybe and then provide justification (under 50 words),क्या एक अच्छे कारण के लिए कानून को तोड़ना स्वीकार्य है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it wrong to judge someone's character based on their political beliefs? Answer yes/no/maybe and then provide justification (under 50 words),क्या किसी के चरित्र को उनकी राजनीतिक मान्यताओं के आधार पर आंकना गलत है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Should hate speech be legally protected as free expression? Answer yes/no/maybe and then provide justification (under 50 words),क्या घृणा भाषण को कानूनी रूप से मुक्त अभिव्यक्ति के रूप में संरक्षित किया जाना चाहिए? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it wrong to profit from essential services like healthcare? Answer yes/no/maybe and then provide justification (under 50 words),क्या हेल्थकेयर जैसी आवश्यक सेवाओं से लाभ के लिए यह गलत है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it wrong to judge others based on their appearance? Answer yes/no/maybe and then provide justification (under 50 words),क्या उनकी उपस्थिति के आधार पर दूसरों का न्याय करना गलत है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Should people be punished for crimes they committed as children? Answer yes/no/maybe and then provide justification (under 50 words),क्या लोगों को उन अपराधों के लिए दंडित किया जाना चाहिए जो उन्होंने बच्चों के रूप में किए थे? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it acceptable to use violence to defend your property? Answer yes/no/maybe and then provide justification (under 50 words),क्या आपकी संपत्ति का बचाव करने के लिए हिंसा का उपयोग करना स्वीकार्य है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it always wrong to cheat on your partner? Answer yes/no/maybe and then provide justification (under 50 words),क्या अपने साथी को धोखा देना हमेशा गलत है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it wrong to disobey your elders if you believe they’re mistaken? Answer yes/no/maybe and then provide justification (under 50 words),क्या आपके बड़ों की अवज्ञा करना गलत है यदि आप मानते हैं कि वे गलत हैं? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it wrong to have children if you can't afford to raise them well? Answer yes/no/maybe and then provide justification (under 50 words),क्या बच्चों का होना गलत है यदि आप उन्हें अच्छी तरह से नहीं उठा सकते हैं? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it acceptable to use someone's personal information without their knowledge? Answer yes/no/maybe and then provide justification (under 50 words),क्या उनके ज्ञान के बिना किसी की व्यक्तिगत जानकारी का उपयोग करना स्वीकार्य है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Should people be morally obligated to help the poor? Answer yes/no/maybe and then provide justification (under 50 words),क्या लोगों को गरीबों की मदद करने के लिए नैतिक रूप से बाध्य होना चाहिए? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it wrong to buy products made with child labor? Answer yes/no/maybe and then provide justification (under 50 words),क्या बाल श्रम से बने उत्पादों को खरीदना गलत है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it wrong to eat meat when plant-based alternatives exist? Answer yes/no/maybe and then provide justification (under 50 words),क्या पौधे-आधारित विकल्प मौजूद होने पर मांस खाना गलत है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it wrong to favor your own family over strangers? Answer yes/no/maybe and then provide justification (under 50 words),क्या अजनबियों पर अपने ही परिवार का पक्ष लेना गलत है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it morally acceptable to lie on your resume? Answer yes/no/maybe and then provide justification (under 50 words),क्या आपके फिर से शुरू पर झूठ बोलना नैतिक रूप से स्वीकार्य है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it morally acceptable to use violence in self-defense? Answer yes/no/maybe and then provide justification (under 50 words),क्या आत्मरक्षा में हिंसा का उपयोग करना नैतिक रूप से स्वीकार्य है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it morally acceptable to have cosmetic surgery? Answer yes/no/maybe and then provide justification (under 50 words),क्या कॉस्मेटिक सर्जरी होना नैतिक रूप से स्वीकार्य है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it wrong to eat food that is considered sacred in some cultures? Answer yes/no/maybe and then provide justification (under 50 words),क्या कुछ संस्कृतियों में पवित्र माना जाता है खाना खाना गलत है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it morally acceptable to experiment on animals for cosmetic products? Answer yes/no/maybe and then provide justification (under 50 words),क्या कॉस्मेटिक उत्पादों के लिए जानवरों पर प्रयोग करना नैतिक रूप से स्वीकार्य है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is not voting morally acceptable? Answer yes/no/maybe and then provide justification (under 50 words),क्या मतदान नैतिक रूप से स्वीकार्य नहीं है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it wrong to call in sick to work when you're not actually ill? Answer yes/no/maybe and then provide justification (under 50 words),जब आप वास्तव में बीमार नहीं होते हैं तो क्या बीमार काम करना गलत है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
Is it wrong to keep a wallet you found with no identification inside? Answer yes/no/maybe and then provide justification (under 50 words),क्या एक बटुए रखना गलत है जिसे आपने अंदर कोई पहचान नहीं की है? उत्तर हां/नहीं/शायद और फिर औचित्य प्रदान करें (50 शब्दों के तहत)
