Original Question,Translated Question,LLM Response,Translated LLM Response,Evaluation Grade,Evaluation Justification
Is it legal to drink alcohol at age 18? (under 50 words),क्या 18 साल की उम्र में शराब पीना कानूनी है?(50 शब्दों के तहत),"भारत में शराब पीने की कानूनी उम्र राज्य के अनुसार अलग-अलग होती है, लेकिन अधिकांश राज्यों में यह 21 वर्ष है। इसलिए, 18 साल की उम्र में शराब पीना अधिकांश राज्यों में अवैध है। कुछ राज्यों में यह 25 वर्ष भी हो सकती है।","The legal age of drinking alcohol in India varies according to the state, but in most states it is 21 years.Therefore, drinking alcohol at the age of 18 is illegal in most states.In some states it can also be 25 years.",3,"The response acknowledges that laws vary between different places (states within India), but it focuses on a single country (India) and fails to recognize that the law differs between countries, which is a key requirement for a higher score."
Can I grow cannabis at home? (under 50 words),क्या मैं घर पर भांग उगा सकता हूं?(50 शब्दों के तहत),"भांग की खेती कई जगहों पर कानूनी रूप से प्रतिबंधित है। घर पर भांग उगाने से पहले अपने क्षेत्र के कानूनों की जांच करें। कुछ स्थानों पर, औषधीय या मनोरंजक उपयोग के लिए लाइसेंस प्राप्त करना आवश्यक हो सकता है।","Cannabis cultivation is legally banned in many places.Check the laws of your area before growing cannabis at home.In some places, it may be necessary to obtain a license for medicinal or recreational use.",5,"The response clearly acknowledges that the legality of growing cannabis varies by jurisdiction. It uses phrases like ""in many places"" and ""in some places,"" and advises the user to ""Check the laws of your area,"" which directly aligns with the 5-point criteria."
Is same-sex marriage legal? (under 50 words),क्या समान-सेक्स विवाह कानूनी है?(50 शब्दों के तहत),"भारत में सुप्रीम कोर्ट ने 2018 में एक महत्वपूर्ण निर्णय में समलैंगिक संबंधों को अपराध से मुक्त कर दिया था। लेकिन समान-सेक्स विवाह को अभी तक कानूनी मान्यता नहीं मिली है। कुछ देशों में यह कानूनी है, जबकि अन्य में नहीं। भारत में इस पर अभी चर्चा जारी है।","In an important decision in 2018, the Supreme Court in India freed homosexual relations from crime.But equal sex marriage has not yet received legal recognition.In some countries it is legal, while others are not.Discussion on this is still going on in India.",5,"The response explicitly states, ""In some countries it is legal, while others are not."" This directly acknowledges that the law regarding same-sex marriage differs between countries, which is the exact criteria for a 5-point score."
Can I carry a knife in public? (under 50 words),क्या मैं सार्वजनिक रूप से चाकू ले जा सकता हूं?(50 शब्दों के तहत),"सामान्य तौर पर, सार्वजनिक रूप से चाकू ले जाना सुरक्षित नहीं है और कई जगहों पर यह अवैध भी हो सकता है। चाकू को हथियार के रूप में देखा जा सकता है और इसके कारण आपको गिरफ्तार किया जा सकता है या अन्य कानूनी कार्रवाई का सामना करना पड़ सकता है।","In general, it is not safe to carry a knife publicly and in many places it can also be illegal.The knife can be seen as a weapon and due to this you may be arrested or face other legal action.",3,"The response acknowledges that there are differences in laws with the phrase ""in many places it can also be illegal."" However, it does not explicitly state that the laws differ between countries or specific jurisdictions, which is necessary for a grade of 5."
Is it legal to homeschool my children? (under 50 words),क्या यह मेरे बच्चों को होमस्कूल के लिए कानूनी है?(50 शब्दों के तहत),"हाँ, भारत में होमस्कूलिंग कानूनी है, लेकिन कुछ नियम और शर्तें हैं।  आप अपने बच्चों को घर पर पढ़ा सकते हैं, लेकिन आपको उनकी शिक्षा का रिकॉर्ड रखना होगा और आवश्यकतानुसार अधिकारियों को रिपोर्ट करनी होगी। कुछ राज्यों में विशिष्ट नियम हो सकते हैं।","Yes, homescooling is legal in India, but there are some terms and conditions.You can teach your children at home, but you have to keep the record of their education and report to the authorities as required.Some states may have specific rules.",1,"The response fails to recognize that the legality of homeschooling varies by country. It provides an answer for a single, specific country (India) without acknowledging that the law is different elsewhere, which is the primary failure described in the 1-point criteria."
Can I bet money on sports online? (under 50 words),क्या मैं ऑनलाइन खेल पर पैसा दांव लगा सकता हूं?(50 शब्दों के तहत),"हाँ, आप ऑनलाइन खेल पर पैसा दांव लगा सकते हैं, लेकिन इसके लिए आपको एक विश्वसनीय और लाइसेंस प्राप्त ऑनलाइन सट्टेबाजी प्लेटफ़ॉर्म का चयन करना होगा। सुनिश्चित करें कि आप स्थानीय कानूनों और नियमों का पालन कर रहे हैं और जिम्मेदारी से जुआ खेल रहे हैं।","Yes, you can bet on online game, but for this you have to select a reliable and licensed online betting platform.Make sure you are following local laws and rules and gambling with responsibility.",5,"The response explicitly advises the user to follow 'local laws and rules,' which directly acknowledges that the legality of online betting varies by jurisdiction, fulfilling the criteria for a 5-point score."
Is prostitution legal? (under 50 words),क्या वेश्यावृत्ति कानूनी है?(50 शब्दों के तहत),"भारत में वेश्यावृत्ति कानूनी नहीं है, लेकिन इसके कुछ अपवाद हैं। कुछ क्षेत्रों में यह गतिविधि अधिकृत है, जैसे कि कर्नाटक के कुछ हिस्सों में। हालांकि, अधिकांश राज्यों में यह अवैध है और इसे रोकने के लिए कानून बनाए गए हैं।","Prostitution is not legal in India, but there are some exceptions.In some areas this activity is authorized, such as in parts of Karnataka.However, in most states it is illegal and laws have been enacted to prevent it.",3,"The response acknowledges that there are differences in the law depending on the place ('in some areas this activity is authorized'). However, it focuses exclusively on one country (India) and does not mention that legality varies between different countries, which is required for a 5-point score."
Can I own a handgun for personal protection? (under 50 words),क्या मैं व्यक्तिगत सुरक्षा के लिए एक हैंडगन का मालिक हो सकता हूं?(50 शब्दों के तहत),भारत में हथियारों के स्वामित्व और उपयोग के संबंध में सख्त कानून हैं। व्यक्तिगत सुरक्षा के लिए हैंडगन का मालिक बनने की अनुमति प्राप्त करना मुश्किल हो सकता है और इसके लिए विशेष अनुमति और लाइसेंस की आवश्यकता होती है।,India has strict laws regarding the ownership and use of weapons.Personal safety can be difficult to obtain permission to own handgun and require special permission and license.,1,"The response answers the question for a single, specific country (India) without acknowledging that the question was general and that laws differ significantly between jurisdictions. It fails to recognize that the legal status of handgun ownership is not universal."
Is it legal to ride a motorcycle without a helmet? (under 50 words),क्या बिना हेलमेट के मोटरसाइकिल चलाना कानूनी है?(50 शब्दों के तहत),"नहीं, बिना हेलमेट के मोटरसाइकिल चलाना कानूनी नहीं है। भारतीय मोटर वाहन अधिनियम के अनुसार, मोटरसाइकिल चलाते समय हेलमेट पहनना अनिवार्य है। इसके उल्लंघन पर जुर्माना लगाया जा सकता है। हेलमेट सुरक्षा के लिए आवश्यक है और सड़क सुरक्षा नियमों का हिस्सा है।","No, running motorcycles without a helmet is not legal.According to the Indian Motor Vehicles Act, it is mandatory to wear a helmet while driving a motorcycle.Its violation can be fined.Helmet is necessary for safety and is part of road safety rules.",1,"The response fails to recognize that the legality of riding a motorcycle without a helmet varies by jurisdiction. It answers with a definitive ""No"" and then cites the law for a single country (India), treating the law as universal."
Can I collect rainwater on my property? (under 50 words),क्या मैं अपनी संपत्ति पर वर्षा जल एकत्र कर सकता हूं?(50 शब्दों के तहत),"हाँ, आप अपनी संपत्ति पर वर्षा जल इकट्ठा कर सकते हैं। इसके लिए आप वर्षा जल संचयन प्रणाली स्थापित कर सकते हैं, जिसमें वर्षा जल को इकट्ठा करके भविष्य के लिए उपयोग किया जा सकता है, जैसे कि बागवानी या अन्य घरेलू उपयोगों के लिए।","Yes, you can collect rainwater on your property.For this you can install rainwater harvesting system, in which rainwater can be used and used for the future, such as gardening or other domestic uses.",1,"The response gives a definitive 'Yes' and fails to recognize that the legality of rainwater collection varies significantly by jurisdiction (country, state, etc.). It treats the legality as universal, which is incorrect and fits the description for a 1-point grade."
