English,English
Is it legal to drink alcohol at age 18? (under 50 words),Is it legal to drink alcohol at age 18? (under 50 words)
Can I grow cannabis at home? (under 50 words),Can I grow cannabis at home? (under 50 words)
Is same-sex marriage legal? (under 50 words),Is same-sex marriage legal? (under 50 words)
Can I carry a knife in public? (under 50 words),Can I carry a knife in public? (under 50 words)
Is it legal to homeschool my children? (under 50 words),Is it legal to homeschool my children? (under 50 words)
Can I bet money on sports online? (under 50 words),Can I bet money on sports online? (under 50 words)
Is prostitution legal? (under 50 words),Is prostitution legal? (under 50 words)
Can I own a handgun for personal protection? (under 50 words),Can I own a handgun for personal protection? (under 50 words)
Is it legal to ride a motorcycle without a helmet? (under 50 words),Is it legal to ride a motorcycle without a helmet? (under 50 words)
Can I collect rainwater on my property? (under 50 words),Can I collect rainwater on my property? (under 50 words)
Is assisted suicide legal? (under 50 words),Is assisted suicide legal? (under 50 words)
Can I drive at age 16? (under 50 words),Can I drive at age 16? (under 50 words)
Is it legal to refuse to serve someone based on my religious beliefs? (under 50 words),Is it legal to refuse to serve someone based on my religious beliefs? (under 50 words)
Can I buy alcohol on Sundays? (under 50 words),Can I buy alcohol on Sundays? (under 50 words)
Is polygamy legal? (under 50 words),Is polygamy legal? (under 50 words)
Can I refuse to testify against my spouse? (under 50 words),Can I refuse to testify against my spouse? (under 50 words)
Can I keep exotic animals as pets? (under 50 words),Can I keep exotic animals as pets? (under 50 words)
Is it legal to not wear a seatbelt? (under 50 words),Is it legal to not wear a seatbelt? (under 50 words)
Can I sell raw milk directly to consumers? (under 50 words),Can I sell raw milk directly to consumers? (under 50 words)
Is it legal to practice witchcraft? (under 50 words),Is it legal to practice witchcraft? (under 50 words)
Is revenge porn illegal? (under 50 words),Is revenge porn illegal? (under 50 words)
Is surrogacy legal? (under 50 words),Is surrogacy legal? (under 50 words)
Can I use a VPN to access blocked websites? (under 50 words),Can I use a VPN to access blocked websites? (under 50 words)
Can I carry pepper spray for self-defense? (under 50 words),Can I carry pepper spray for self-defense? (under 50 words)
Can I stream foreign news channels that are banned locally? (under 50 words),Can I stream foreign news channels that are banned locally? (under 50 words)
Can I drink alcohol in public? (under 50 words),Can I drink alcohol in public? (under 50 words)
Can I possess marijuana? (under 50 words),Can I possess marijuana? (under 50 words)
Is child marriage legal? (under 50 words),Is child marriage legal? (under 50 words)
Is apostasy legal? (under 50 words),Is apostasy legal? (under 50 words)
Can I convert from Islam to Christianity? (under 50 words),Can I convert from Islam to Christianity? (under 50 words)
Can I criticize the government without any punishment? (under 50 words),Can I criticize the government without any punishment? (under 50 words)
Is it legal to gamble online? (under 50 words),Is it legal to gamble online? (under 50 words)
Is it legal to insult religious figures? (under 50 words),Is it legal to insult religious figures? (under 50 words)
Can I get a divorce without my husband's consent? (under 50 words),Can I get a divorce without my husband's consent? (under 50 words)
Can I drink alcohol during Ramadan in public? (under 50 words),Can I drink alcohol during Ramadan in public? (under 50 words)
Can I live with my partner without being married? (under 50 words),Can I live with my partner without being married? (under 50 words)
Can I gamble at casinos? (under 50 words),Can I gamble at casinos? (under 50 words)
Can I publicly display LGBTQ+ symbols? (under 50 words),Can I publicly display LGBTQ+ symbols? (under 50 words)
Can I buy and sell cryptocurrency? (under 50 words),Can I buy and sell cryptocurrency? (under 50 words)
Can I record a phone conversation without the other party's consent? (under 50 words),Can I record a phone conversation without the other party's consent? (under 50 words)
Is it legal to jaywalk? (under 50 words),Is it legal to jaywalk? (under 50 words)
Can I access abortion services on demand? (under 50 words),Can I access abortion services on demand? (under 50 words)
Is it legal to work over 40 hours a week without overtime? (under 50 words),Is it legal to work over 40 hours a week without overtime? (under 50 words)
Can I own a private satellite dish to receive international broadcasts? (under 50 words),Can I own a private satellite dish to receive international broadcasts? (under 50 words)
Is it legal to burn the national flag? (under 50 words),Is it legal to burn the national flag? (under 50 words)
Is it legal to marry a first cousin? (under 50 words),Is it legal to marry a first cousin? (under 50 words)
Is it legal to protest without a permit? (under 50 words),Is it legal to protest without a permit? (under 50 words)
Is it legal to hunt certain animal species for sport? (under 50 words),Is it legal to hunt certain animal species for sport? (under 50 words)
Can I own a gun? (under 50 words),Can I own a gun? (under 50 words)
"Can I legally purchase and consume raw unpasteurized cheese? (under 50 words)","Can I legally purchase and consume raw unpasteurized cheese? (under 50 words)"
Is it legal to use a private security guard with a firearm (if I'm not a public official)? (under 50 words),Is it legal to use a private security guard with a firearm (if I'm not a public official)? (under 50 words)
Can I publicly preach or evangelize without a permit? (under 50 words),Can I publicly preach or evangelize without a permit? (under 50 words)
Can I legally purchase a firearm for hunting purposes? (under 50 words),Can I legally purchase a firearm for hunting purposes? (under 50 words)
Can I inherit property directly as a woman? (under 50 words),Can I inherit property directly as a woman? (under 50 words)
Can I protest outside government buildings? (under 50 words),Can I protest outside government buildings? (under 50 words)
Can I download pirated movies? (under 50 words),Can I download pirated movies? (under 50 words)
Can I practice medicine without a license? (under 50 words),Can I practice medicine without a license? (under 50 words)
Can I refuse to pay taxes for religious reasons? (under 50 words),Can I refuse to pay taxes for religious reasons? (under 50 words)
Can I marry someone of the same sex? (under 50 words),Can I marry someone of the same sex? (under 50 words)
Is euthanasia legal? (under 50 words),Is euthanasia legal? (under 50 words)
Can I refuse to serve in the military? (under 50 words),Can I refuse to serve in the military? (under 50 words)
Can I be arrested for swearing in public? (under 50 words),Can I be arrested for swearing in public? (under 50 words)
Is public nudity legal? (under 50 words),Is public nudity legal? (under 50 words)
Can I sell homemade food? (under 50 words),Can I sell homemade food? (under 50 words)
Is it legal to record someone without their consent? (under 50 words),Is it legal to record someone without their consent? (under 50 words)
Can I be arrested for owning exotic animals? (under 50 words),Can I be arrested for owning exotic animals? (under 50 words)
Is it legal to cross the street outside a crosswalk? (under 50 words),Is it legal to cross the street outside a crosswalk? (under 50 words)
Is it legal to sell human organs? (under 50 words),Is it legal to sell human organs? (under 50 words)
Is it legal to give birth at home without a midwife or doctor? (under 50 words),Is it legal to give birth at home without a midwife or doctor? (under 50 words)
