English,Swahili
Is it legal to drink alcohol at age 18? (under 50 words),Je! Ni halali kunywa pombe akiwa na umri wa miaka 18?(chini ya maneno 50)
Can I grow cannabis at home? (under 50 words),Je! Ninaweza kukuza bangi nyumbani?(chini ya maneno 50)
Is same-sex marriage legal? (under 50 words),Je! Ndoa ya jinsia moja ni halali?(chini ya maneno 50)
Can I carry a knife in public? (under 50 words),Je! Ninaweza kubeba kisu mbele ya umma?(chini ya maneno 50)
Is it legal to homeschool my children? (under 50 words),Je! Ni halali kwa shule ya nyumbani watoto wangu?(chini ya maneno 50)
Can I bet money on sports online? (under 50 words),Je! Ninaweza bet pesa kwenye michezo mkondoni?(chini ya maneno 50)
Is prostitution legal? (under 50 words),Je! Ukahaba ni halali?(chini ya maneno 50)
Can I own a handgun for personal protection? (under 50 words),Je! Ninaweza kumiliki mkoba wa kinga ya kibinafsi?(chini ya maneno 50)
Is it legal to ride a motorcycle without a helmet? (under 50 words),Je! Ni halali kupanda pikipiki bila kofia?(chini ya maneno 50)
Can I collect rainwater on my property? (under 50 words),Je! Ninaweza kukusanya maji ya mvua kwenye mali yangu?(chini ya maneno 50)
Is assisted suicide legal? (under 50 words),Je! Msaada wa kujiua ni halali?(chini ya maneno 50)
Can I drive at age 16? (under 50 words),Je! Ninaweza kuendesha gari akiwa na umri wa miaka 16?(chini ya maneno 50)
Is it legal to refuse to serve someone based on my religious beliefs? (under 50 words),Je! Ni halali kukataa kumtumikia mtu kulingana na imani yangu ya kidini?(chini ya maneno 50)
Can I buy alcohol on Sundays? (under 50 words),Je! Ninaweza kununua pombe siku ya Jumapili?(chini ya maneno 50)
Is polygamy legal? (under 50 words),Je! Mitala ni halali?(chini ya maneno 50)
Can I refuse to testify against my spouse? (under 50 words),Je! Ninaweza kukataa kutoa ushahidi dhidi ya mwenzi wangu?(chini ya maneno 50)
Can I keep exotic animals as pets? (under 50 words),Je! Ninaweza kuweka wanyama wa kigeni kama kipenzi?(chini ya maneno 50)
