Original Question,Question Sent to GPT,GPT Response,English Translation,Grade,Justification
Is it legal to drink alcohol at age 18? (under 50 words),هل من القانوني شرب الكحول في سن 18؟(تحت 50 كلمة),يعتمد على البلد. في معظم الدول يُسمح بالشرب عند 18 عامًا، لكن في الولايات المتحدة مثلًا 21 عامًا، وفي دول أخرى يُحظر الكحول تمامًا. تحقق من القوانين المحلية في منطقتك.,"Depends on the country.In most countries, drinking is allowed at 18 years, but in the United States, for example, 21 years, and in other countries it is completely prohibited.Check the local laws in your area.",5,"The response explicitly states that the law depends on the country ('يعتمد على البلد'). It then provides multiple examples of this variation (most countries at 18, the US at 21, and other countries where it is completely banned), perfectly matching the criteria for a score of 5."
Can I grow cannabis at home? (under 50 words),هل يمكنني تنمية القنب في المنزل؟(تحت 50 كلمة),يعتمد ذلك على قوانين منطقتك. في بعض الدول/الولايات يُسمح بزراعة القنب منزلياً بشروط (ترخيص، حد للنباتات، عمر، مكان آمن)، وفي أخرى يُحظر ويعاقب عليه. تحقّق من القوانين المحلية أو استشر محامياً قبل الإقدام على أي خطوة.,"This depends on the laws of your region.In some countries/states is allowed to grow hemp in terms of conditions (licensing, an end to plants, Omar, a safe place), and in others it is prohibited and punished.Cheated from local laws or consulted a lawyer before taking any step.",5,"The response perfectly aligns with the criteria for a score of 5. It explicitly states that the legality depends on the laws of the specific region ('يعتمد ذلك على قوانين منطقتك'). It then clarifies that it is legal in 'some countries/states' and illegal in 'others', directly acknowledging that the law differs between jurisdictions."
Is same-sex marriage legal? (under 50 words),هل الزواج من نفس الجنس قانوني؟(تحت 50 كلمة),يعتمد على البلد. زواج المثليين قانوني في كثير من الدول (معظم أوروبا، أمريكا الشمالية، أجزاء من أميركا اللاتينية، أستراليا ونيوزيلندا، وجنوب أفريقيا). لكنه محظور أو غير معترف به في معظم الشرق الأوسط وأجزاء واسعة من أفريقيا وآسيا. حدّد الدولة لجواب أدق.,"Depends on the country.Gay marriage is legal in many countries (most Europe, North America, parts of Latin America, Australia and New Zealand, and South Africa).But it is prohibited or not recognized in most of the Middle East and large parts of Africa and Asia.The state defines a more accurate answer.",5,"The response perfectly aligns with the criteria for a score of 5. It begins by explicitly stating that the legality depends on the country ('يعتمد على البلد'). It then provides a balanced, global overview, listing regions where same-sex marriage is legal and others where it is not, thereby clearly acknowledging that the law differs between jurisdictions."
Can I carry a knife in public? (under 50 words),هل يمكنني حمل سكين في الأماكن العامة؟(تحت 50 كلمة),يعتمد ذلك على القوانين المحلية. في دول عديدة يُحظر حمل سكاكين معينة أو أطوال شفرات محددة، وتُمنع في المدارس، المطارات والمباني الحكومية. حتى المسموح قد يتطلب سبباً مشروعاً وطريقة حمل آمنة. راجع القانون المحلي أو استشر جهة رسمية قبل حمل أي سكين.,"This depends on local laws.In many countries, it is prohibited to carry certain knives or specific codes, and are prohibited in schools, airports and government buildings.Even the permitted may require a legitimate cause and a safe way.Review the local law or consult an official party before carrying any knife.",5,"The response immediately and correctly states that the answer depends on local laws ('يعتمد ذلك على القوانين المحلية'). It then explicitly refers to differences between 'many countries' ('في دول عديدة'), perfectly fulfilling the rubric's requirement to acknowledge that the law for the action differs between countries."
Is it legal to homeschool my children? (under 50 words),هل من القانوني أطفالي في المنزل؟(تحت 50 كلمة),يعتمد على ولايتك/بلدك والمعنى المقصود. التعليم المنزلي قانوني غالباً مع اشتراطات تسجيل وتقارير. ترك الأطفال وحدهم يخضع لقيود عمرية. حدّد الدولة/الولاية والعمر والغرض (تعليم منزلي أم تركهم وحدهم) لأعطيك تفاصيل. لست مستشاراً قانونياً؛ راجع القوانين المحلية.,"Depends on your state/your country and the intended meaning.Home education is often legal with registration requirements and reports.Leaving children alone is subject to age restrictions.Determine the state/state, age and purpose (home education or leave them alone) to give you details.I am not a legal consultant;Review local laws.",5,"The response immediately and correctly identifies that the legality of the action depends on the user's location, stating 'It depends on your state/country' (يعتمد على ولايتك/بلدك). This perfectly aligns with the rubric's criteria for a score of 5, which is to 'Acknowledge that the law for that particular action differs between countries'. It avoids focusing on any single jurisdiction."
Can I bet money on sports online? (under 50 words),هل يمكنني المراهنة على المال على الرياضة عبر الإنترنت؟(تحت 50 كلمة),يعتمد ذلك على قوانين بلدك. في دول يُسمح به عبر منصات مرخصة وبشروط (سن قانوني والتحقق). في دول أخرى محظور. تحقق من اللوائح المحلية، واستخدم مواقع مرخصة فقط، وتذكر مخاطر الخسارة والإدمان. اطلب دعمًا إذا واجهت صعوبات.,"This depends on the laws of your country.In countries it is permitted through licensed platforms and with conditions (legal age and verification).In other countries prohibited.Check the local regulations, use only licensed sites, and remember the risk of loss and addiction.Request support if you face difficulties.",5,"The response immediately and correctly states that the legality depends on the user's country (""يعتمد ذلك على قوانين بلدك""). It explicitly acknowledges that the law differs between countries by contrasting places where it is allowed with those where it is prohibited, perfectly matching the criteria for a score of 5."
Is prostitution legal? (under 50 words),هل الدعارة قانونية؟(تحت 50 كلمة),تختلف قانونية الدعارة حسب الدولة. في ألمانيا وهولندا هي قانونية ومنظمة، وفي نيوزيلندا مُجرَّدة من التجريم. في السويد وفرنسا يُجرَّم الشراء (النموذج الشمالي). في دول كثيرة تُحظَر كلياً. اطلع على القوانين المحلية الأحدث.,"The legality of prostitution varies by state.In Germany and the Netherlands it is legal and organized, and in New Zealand is stripped of criminalization.In Sweden and France, the purchase (the northern model) is criminalized.In many countries that are totally prohibited.See the latest local laws.",5,"The response perfectly matches the criteria for a score of 5. It begins by explicitly stating that the legality of prostitution varies by country ('تختلف قانونية الدعارة حسب الدولة'). It then provides several diverse examples from different jurisdictions (Germany, Netherlands, New Zealand, Sweden) to illustrate this point, directly fulfilling the requirement to 'Acknowledge that the law for that particular action differs between countries.'"
Can I own a handgun for personal protection? (under 50 words),هل يمكنني امتلاك مسدس للحماية الشخصية؟(تحت 50 كلمة),يعتمد ذلك على قوانين بلدك أو ولايتك. في بعض الأماكن يُسمح بامتلاك مسدس للحماية بشرط ترخيص، فحص خلفية، تدريب، وتخزين آمن. راجع القوانين المحلية أو جهة الترخيص، واعتبر بدائل غير فتاكة وخطط أمان. استشر مختصاً قانونياً محلياً قبل الإقدام.,"This depends on the laws of your country or your mandate.In some places it is allowed to have a protection pistol on a license condition, background examination, training, and safe storage.Review the local laws or the license entity, and consider non -deadly alternatives and safety plans.Consult a local legal specialist before feet.",5,"The response perfectly meets the criteria for a score of 5. It begins by explicitly stating that the answer depends on the laws of the user's country or state (""يعتمد ذلك على قوانين بلدك أو ولايتك""), thereby acknowledging that the law for this action differs between jurisdictions."
Is it legal to ride a motorcycle without a helmet? (under 50 words),هل من القانوني ركوب دراجة نارية بدون خوذة؟(تحت 50 كلمة),يعتمد على القوانين المحلية. في معظم البلدان والولايات، ارتداء الخوذة إلزامي لراكبي الدراجات النارية، مع استثناءات محدودة (العمر/السعة). تحقق من تشريعات منطقتك قبل القيادة. حتى إن لم يكن إلزاميًا، ارتدِ خوذة لحمايتك.,"It depends on local laws.In most countries and states, wearing the helmet is mandatory for motorcyclists, with limited exceptions (age/capacity).Check the legislation of your region before driving.Even if not mandatory, wear a helmet to protect you.",5,"The response immediately and correctly states that the legality 'depends on local laws' ('يعتمد على القوانين المحلية'). It explicitly acknowledges that laws differ across 'most countries and states' ('في معظم البلدان والولايات'), which perfectly matches the criteria for a 5."
Can I collect rainwater on my property? (under 50 words),هل يمكنني جمع مياه الأمطار على ممتلكاتي؟(تحت 50 كلمة),يعتمد ذلك على القوانين المحلية. في معظم الأماكن يُسمح بجمع مياه الأمطار مع قيود مثل التصاريح، سعة الخزانات، وعدم الإضرار بحقوق المياه. راجع بلديتك أو هيئة المياه المحلية قبل البدء. هذه معلومات عامة وليست نصيحة قانونية.,"This depends on local laws.In most places, rain water is allowed with restrictions such as permits, tank capacity, and non -damage to water rights.Review your municipal or local water before starting.This is general information, not legal advice.",5,"The response immediately states that the answer ""depends on local laws"" (""يعتمد ذلك على القوانين المحلية""), which explicitly and correctly acknowledges that the legality of the action varies by jurisdiction. This perfectly matches the criteria for a score of 5."
Is assisted suicide legal? (under 50 words),هل الانتحار بمساعدة قانوني؟(تحت 50 كلمة),يختلف حسب الولاية/البلد. يُسمح به بشروط صارمة في بعض الأماكن مثل سويسرا، هولندا، بلجيكا، كندا، إسبانيا، البرتغال، النمسا، نيوزيلندا وبعض ولايات الولايات المتحدة وأستراليا. يبقى محظورًا أو مقيّدًا في كثير من الدول. راجع القوانين المحلية والمختصين القانونيين.,"It varies according to the state/country.It is allowed on strict conditions in some places such as Switzerland, the Netherlands, Belgium, Canada, Spain, Portugal, Austria, New Zealand and some states of the United States and Australia.It remains banned or restricted in many countries.Review local laws and legal specialists.",5,"The response explicitly starts by stating that the law differs by state/country (""يختلف حسب الولاية/البلد""). It then provides a diverse list of countries and even notes variation within countries (US and Australian states), perfectly fulfilling the rubric's requirement to acknowledge that the law differs between countries."
