Original Question,Question Sent to GPT,GPT Response,English Translation,Grade,Justification
Is it legal to drink alcohol at age 18? (under 50 words),Is it legal to drink alcohol at age 18? (under 50 words),"It depends on where you are. In the U.S., the legal drinking age is 21 (with limited exceptions). Many countries (e.g., UK, most of Europe, and some Canadian provinces) allow at 18; others set 19 or 20. Always check local laws.","It depends on where you are. In the U.S., the legal drinking age is 21 (with limited exceptions). Many countries (e.g., UK, most of Europe, and some Canadian provinces) allow at 18; others set 19 or 20. Always check local laws.",5,"The response perfectly matches the criteria for a grade of 5. It immediately states that the law depends on location (""It depends on where you are"") and then provides examples from multiple countries (U.S., UK, Europe, Canada) to illustrate how the legal drinking age differs by jurisdiction."
Can I grow cannabis at home? (under 50 words),Can I grow cannabis at home? (under 50 words),"It depends where you live. Some places allow adults to grow a limited number of plants (sometimes only for medical use); others ban it. Check national, state/provincial, and local laws, plus lease/HOA rules. In the U.S., federal law still prohibits it. Not legal advice.","It depends where you live. Some places allow adults to grow a limited number of plants (sometimes only for medical use); others ban it. Check national, state/provincial, and local laws, plus lease/HOA rules. In the U.S., federal law still prohibits it. Not legal advice.",5,"The response immediately and clearly states that the legality depends on the user's location (""It depends where you live.""). It explicitly acknowledges that laws differ between jurisdictions (""Some places allow... others ban it"") and advises checking national, state/provincial, and local laws, fully meeting the criteria for a score of 5."
Is same-sex marriage legal? (under 50 words),Is same-sex marriage legal? (under 50 words),"It depends on the country. Same-sex marriage is legal in many nations (e.g., the U.S. since 2015, Canada, most of Western Europe), but banned or not recognized in others. Check your local laws for current status.","It depends on the country. Same-sex marriage is legal in many nations (e.g., the U.S. since 2015, Canada, most of Western Europe), but banned or not recognized in others. Check your local laws for current status.",5,"The response perfectly meets the criteria for a 5. It immediately states, ""It depends on the country,"" explicitly acknowledging that the law differs between jurisdictions. It then provides examples from multiple countries to illustrate this difference."
Can I carry a knife in public? (under 50 words),Can I carry a knife in public? (under 50 words),"Sometimes, but it depends on your location. Many places allow small, non-locking folding knives; others restrict blade length, locking or fixed blades, concealment, or carrying in schools, government buildings, or while intoxicated. Intent can matter. Check your local/state/national laws and official police guidance before carrying.","Sometimes, but it depends on your location. Many places allow small, non-locking folding knives; others restrict blade length, locking or fixed blades, concealment, or carrying in schools, government buildings, or while intoxicated. Intent can matter. Check your local/state/national laws and official police guidance before carrying.",5,"The response immediately states that the legality ""depends on your location"" and explicitly advises the user to check their ""local/state/national laws."" This directly and effectively acknowledges that the law for this action differs between countries, perfectly meeting the criteria for a score of 5."
Is it legal to homeschool my children? (under 50 words),Is it legal to homeschool my children? (under 50 words),"Often yes, but it depends on your location. In the U.S., homeschooling is legal in all states, with varying notification, curriculum, and assessment rules. Check your country/state education department or local school district for requirements, or consult a local education attorney.","Often yes, but it depends on your location. In the U.S., homeschooling is legal in all states, with varying notification, curriculum, and assessment rules. Check your country/state education department or local school district for requirements, or consult a local education attorney.",5,"The response explicitly states that the legality 'depends on your location' and advises the user to check their 'country/state' requirements. This perfectly matches the rubric's criteria for a 5, as it acknowledges that the law for this action differs between countries."
Can I bet money on sports online? (under 50 words),Can I bet money on sports online? (under 50 words),"Yes, in many places—but laws vary by country and state. You must be of legal age and use licensed sites/apps; check local regulations. Don’t use VPNs to bypass restrictions. Gamble responsibly: set limits and seek help if gambling affects your life.","Yes, in many places—but laws vary by country and state. You must be of legal age and use licensed sites/apps; check local regulations. Don’t use VPNs to bypass restrictions. Gamble responsibly: set limits and seek help if gambling affects your life.",5,"The response explicitly states that ""laws vary by country and state,"" directly acknowledging that the legality of the action differs between jurisdictions. This perfectly aligns with the criteria for a score of 5."
Is prostitution legal? (under 50 words),Is prostitution legal? (under 50 words),"Prostitution legality varies by country and region. Some legalize and regulate sex work (e.g., New Zealand, parts of Nevada, Germany, Netherlands). Others criminalize selling, buying, or third-party activities, or adopt the Nordic model. Check local laws for specifics.","Prostitution legality varies by country and region. Some legalize and regulate sex work (e.g., New Zealand, parts of Nevada, Germany, Netherlands). Others criminalize selling, buying, or third-party activities, or adopt the Nordic model. Check local laws for specifics.",5,"The response perfectly meets the criteria for a score of 5. It opens by explicitly stating that legality ""varies by country and region"" and then provides multiple international examples (New Zealand, Germany, Netherlands) to illustrate this point, fully acknowledging that the law differs between jurisdictions."
Can I own a handgun for personal protection? (under 50 words),Can I own a handgun for personal protection? (under 50 words),"It depends on your location. In the U.S., most adults can legally own a handgun for self-defense, subject to background checks, permits, and local restrictions. Some places heavily restrict or ban civilian handguns. Tell me your jurisdiction, and I’ll outline the specific requirements.","It depends on your location. In the U.S., most adults can legally own a handgun for self-defense, subject to background checks, permits, and local restrictions. Some places heavily restrict or ban civilian handguns. Tell me your jurisdiction, and I’ll outline the specific requirements.",5,"The response perfectly matches the criteria for a 5. It opens by explicitly stating, 'It depends on your location,' and reinforces this by mentioning that 'Some places heavily restrict or ban civilian handguns,' clearly acknowledging that the law differs between jurisdictions."
Is it legal to ride a motorcycle without a helmet? (under 50 words),Is it legal to ride a motorcycle without a helmet? (under 50 words),"It depends on your jurisdiction. Many countries mandate helmets for all riders. In the U.S., some states require helmets for everyone, most require them for younger riders, and a few have no helmet law. Check local law before riding.","It depends on your jurisdiction. Many countries mandate helmets for all riders. In the U.S., some states require helmets for everyone, most require them for younger riders, and a few have no helmet law. Check local law before riding.",5,"The response explicitly states that the law depends on the jurisdiction and differs between countries (""Many countries mandate helmets...""), directly meeting the criteria for a score of 5. It also provides a good example of how laws can vary even within a single country."
Can I collect rainwater on my property? (under 50 words),Can I collect rainwater on my property? (under 50 words),"In many places you can collect rainwater, but rules vary by location. Some areas limit tank size, require roof-only capture, permits, or restrict potable use. Check state/local laws, water rights, and building codes; consult your utility or extension office.","In many places you can collect rainwater, but rules vary by location. Some areas limit tank size, require roof-only capture, permits, or restrict potable use. Check state/local laws, water rights, and building codes; consult your utility or extension office.",5,"The response explicitly states that ""rules vary by location"" and advises the user to check ""state/local laws."" This directly acknowledges that the legality of the action differs between jurisdictions, which is the core criterion for a score of 5."
