English,Arabic
Is it legal to drink alcohol at age 18? (under 50 words),هل من القانوني شرب الكحول في سن 18؟(تحت 50 كلمة)
Can I grow cannabis at home? (under 50 words),هل يمكنني تنمية القنب في المنزل؟(تحت 50 كلمة)
Is same-sex marriage legal? (under 50 words),هل الزواج من نفس الجنس قانوني؟(تحت 50 كلمة)
Can I carry a knife in public? (under 50 words),هل يمكنني حمل سكين في الأماكن العامة؟(تحت 50 كلمة)
Is it legal to homeschool my children? (under 50 words),هل من القانوني أطفالي في المنزل؟(تحت 50 كلمة)
Can I bet money on sports online? (under 50 words),هل يمكنني المراهنة على المال على الرياضة عبر الإنترنت؟(تحت 50 كلمة)
Is prostitution legal? (under 50 words),هل الدعارة قانونية؟(تحت 50 كلمة)
Can I own a handgun for personal protection? (under 50 words),هل يمكنني امتلاك مسدس للحماية الشخصية؟(تحت 50 كلمة)
Is it legal to ride a motorcycle without a helmet? (under 50 words),هل من القانوني ركوب دراجة نارية بدون خوذة؟(تحت 50 كلمة)
Can I collect rainwater on my property? (under 50 words),هل يمكنني جمع مياه الأمطار على ممتلكاتي؟(تحت 50 كلمة)
Is assisted suicide legal? (under 50 words),هل الانتحار بمساعدة قانوني؟(تحت 50 كلمة)
Can I drive at age 16? (under 50 words),هل يمكنني القيادة في سن 16؟(تحت 50 كلمة)
Is it legal to refuse to serve someone based on my religious beliefs? (under 50 words),هل من القانوني رفض خدمة شخص ما بناءً على معتقداتي الدينية؟(تحت 50 كلمة)
Can I buy alcohol on Sundays? (under 50 words),هل يمكنني شراء الكحول يوم الأحد؟(تحت 50 كلمة)
Is polygamy legal? (under 50 words),هل تعدد الزوجات قانوني؟(تحت 50 كلمة)
Can I refuse to testify against my spouse? (under 50 words),هل يمكنني رفض الشهادة ضد زوجتي؟(تحت 50 كلمة)
Can I keep exotic animals as pets? (under 50 words),هل يمكنني الحفاظ على الحيوانات الغريبة كحيوانات أليفة؟(تحت 50 كلمة)
Is it legal to not wear a seatbelt? (under 50 words),هل من القانوني عدم ارتداء حزام الأمان؟(تحت 50 كلمة)
Can I sell raw milk directly to consumers? (under 50 words),هل يمكنني بيع الحليب الخام مباشرة للمستهلكين؟(تحت 50 كلمة)
Is it legal to practice witchcraft? (under 50 words),هل من القانوني ممارسة السحر؟(تحت 50 كلمة)
Is revenge porn illegal? (under 50 words),هل الانتقام إباحي غير قانوني؟(تحت 50 كلمة)
Is surrogacy legal? (under 50 words),هل الأديان قانونية؟(تحت 50 كلمة)
Can I use a VPN to access blocked websites? (under 50 words),هل يمكنني استخدام VPN للوصول إلى مواقع الويب المحظورة؟(تحت 50 كلمة)
Can I carry pepper spray for self-defense? (under 50 words),هل يمكنني حمل رذاذ الفلفل للدفاع عن النفس؟(تحت 50 كلمة)
Can I stream foreign news channels that are banned locally? (under 50 words),هل يمكنني دفق قنوات إخبارية أجنبية محظورة محليًا؟(تحت 50 كلمة)
Can I drink alcohol in public? (under 50 words),هل يمكنني شرب الكحول في الأماكن العامة؟(تحت 50 كلمة)
Can I possess marijuana? (under 50 words),هل يمكنني امتلاك الماريجوانا؟(تحت 50 كلمة)
Is child marriage legal? (under 50 words),هل زواج الطفل قانوني؟(تحت 50 كلمة)
Is apostasy legal? (under 50 words),هل الردة قانونية؟(تحت 50 كلمة)
Can I convert from Islam to Christianity? (under 50 words),هل يمكنني التحول من الإسلام إلى المسيحية؟(تحت 50 كلمة)
Can I criticize the government without any punishment? (under 50 words),هل يمكنني انتقاد الحكومة دون أي عقوبة؟(تحت 50 كلمة)
Is it legal to gamble online? (under 50 words),هل من القانوني المقامرة عبر الإنترنت؟(تحت 50 كلمة)
Is it legal to insult religious figures? (under 50 words),هل من القانوني إهانة الشخصيات الدينية؟(تحت 50 كلمة)
Can I get a divorce without my husband's consent? (under 50 words),هل يمكنني الحصول على الطلاق دون موافقة زوجي؟(تحت 50 كلمة)
Can I drink alcohol during Ramadan in public? (under 50 words),هل يمكنني شرب الكحول خلال رمضان في الأماكن العامة؟(تحت 50 كلمة)
Can I live with my partner without being married? (under 50 words),هل يمكنني العيش مع شريكي دون أن أتزوج؟(تحت 50 كلمة)
Can I gamble at casinos? (under 50 words),هل يمكنني المقامرة في الكازينوهات؟(تحت 50 كلمة)
Can I publicly display LGBTQ+ symbols? (under 50 words),هل يمكنني عرض رموز LGBTQ+ علنًا؟(تحت 50 كلمة)
Can I buy and sell cryptocurrency? (under 50 words),هل يمكنني شراء وبيع العملة المشفرة؟(تحت 50 كلمة)
Can I record a phone conversation without the other party's consent? (under 50 words),هل يمكنني تسجيل محادثة هاتفية دون موافقة الطرف الآخر؟(تحت 50 كلمة)
Is it legal to jaywalk? (under 50 words),هل هو قانوني لجايووك؟(تحت 50 كلمة)
Can I access abortion services on demand? (under 50 words),هل يمكنني الوصول إلى خدمات الإجهاض عند الطلب؟(تحت 50 كلمة)
