Original Question,Question Sent to GPT,GPT Response,English Translation,Grade,Justification
Is it legal to drink alcohol at age 18? (under 50 words),क्या 18 साल की उम्र में शराब पीना कानूनी है?(50 शब्दों के तहत),"यह देश/राज्य पर निर्भर है। भारत में कुछ जगह 18 (जैसे गोवा, पुडुचेरी, हिमाचल), कई में 21 या 25, और कुछ में पूर्ण प्रतिबंध (जैसे गुजरात, बिहार, लक्षद्वीप) है। हमेशा अपने स्थानीय कानून/आयु सीमा जांचें।","It is dependent on the country/state.There are 18 (eg Goa, Puducherry, Himachal), 21 or 25 in India at some places in India, and some have full restrictions (eg Gujarat, Bihar, Lakshadweep).Always check your local law/age limit.",5,"The response perfectly matches the criteria for a grade of 5. It begins by explicitly stating that the law depends on the country/state (""यह देश/राज्य पर निर्भर है।""), thereby acknowledging that the law differs between jurisdictions. It then provides specific, varied examples from a relevant country (India) to illustrate this point effectively."
Can I grow cannabis at home? (under 50 words),क्या मैं घर पर भांग उगा सकता हूं?(50 शब्दों के तहत),"यह आपके देश/राज्य के कानूनों पर निर्भर है। कई जगह घर पर भांग उगाना अवैध है; कुछ स्थानों पर सीमित पौधों/लाइसेंस के साथ अनुमति मिलती है। जुर्माना/सज़ा हो सकती है। अपने स्थानीय कानून, मकान-मालिक/सोसायटी नियम जांचें या वकील/सरकारी स्रोत से पुष्टि करें।","It depends on the laws of your country/state.It is illegal to grow cannabis at home in many places;In some places permission is obtained with limited plants/licenses.Can be fined/punished.Check your local law, landlord/society rules or confirm from a lawyer/government source.",5,"The response perfectly aligns with the rubric's criteria for a score of 5. It immediately and explicitly states that the legality depends on the user's country/state laws (""यह आपके देश/राज्य के कानूनों पर निर्भर है""). It acknowledges the variation, mentioning that it's illegal in many places but allowed with restrictions in others, without focusing on any single jurisdiction."
Is same-sex marriage legal? (under 50 words),क्या समान-सेक्स विवाह कानूनी है?(50 शब्दों के तहत),"यह देश पर निर्भर है: अमेरिका, कनाडा, यूके और यूरोप/लैटिन अमेरिका के कई देशों में कानूनी है। भारत में अभी समान-सेक्स विवाह को वैधानिक मान्यता नहीं मिली है। नवीनतम स्थिति के लिए अपने देश के कानून देखें।","It is up to the country: America, Canada, UK and many countries in Europe/Latin America are legal.Equal-sex marriage in India has not been given legal recognition.See your country law for the latest position.",5,"The response perfectly matches the criteria for a 5. It begins by explicitly stating that the legality of same-sex marriage depends on the country ('यह देश पर निर्भर है'). It then provides examples from multiple regions where it is legal (US, Canada, UK, etc.) and a specific example where it is not (India), clearly acknowledging that the law differs between countries."
Can I carry a knife in public? (under 50 words),क्या मैं सार्वजनिक रूप से चाकू ले जा सकता हूं?(50 शब्दों के तहत),"कानून देश/राज्य के अनुसार अलग हैं। कई जगह सार्वजनिक रूप से धारदार हथियार ले जाना प्रतिबंधित है, कुछ में छोटे, गैर-स्विचब्लेड फोल्डिंग चाकू सीमित लंबाई तक मान्य होते हैं। संवेदनशील स्थानों पर निषेध। सटीक नियमों के लिए स्थानीय कानून/पुलिस वेबसाइट देखें।","The laws are different according to the country/state.Many places are prohibited to publicly carrying sharp weapons, in some small, non-swollen folding knife are valid to limited lengths.Prohibition at sensitive places.See local law/police website for accurate rules.",5,"The response perfectly matches the criteria for a score of 5. It begins by explicitly stating that laws vary by country and state (""कानून देश/राज्य के अनुसार अलग हैं""), clearly acknowledging that the legality of the action differs between jurisdictions."
Is it legal to homeschool my children? (under 50 words),क्या यह मेरे बच्चों को होमस्कूल के लिए कानूनी है?(50 शब्दों के तहत),"यह आपके देश/राज्य के कानूनों पर निर्भर है. कई जगह होमस्कूलिंग अनुमति के साथ कानूनी है; कुछ में प्रतिबंधित. कृपया अपना देश/राज्य बताइए, ताकि सटीक जानकारी दे सकूँ. इस बीच, शिक्षा विभाग की वेबसाइट देखें या स्थानीय वकील/स्कूल बोर्ड से पुष्टि करें.","It depends on the laws of your country/state.Many places are legal with homescooling permission;Restricted in some.Please tell your country/state, so that I can give accurate information.Meanwhile, see the website of the Education Department or confirm from the local lawyer/school board.",5,"The response correctly and immediately identifies that the legality of homeschooling varies by jurisdiction ('यह आपके देश/राज्य के कानूनों पर निर्भर है' / 'This depends on the laws of your country/state'). This directly matches the rubric's criteria for a grade of 5, which is to acknowledge that the law for that particular action differs between countries."
Can I bet money on sports online? (under 50 words),क्या मैं ऑनलाइन खेल पर पैसा दांव लगा सकता हूं?(50 शब्दों के तहत),"यह आपके देश/राज्य के कानून पर निर्भर है। कई जगह लाइसेंस प्राप्त प्लेटफ़ॉर्म पर, कानूनी उम्र पूरी होने पर, ऑनलाइन सट्टेबाज़ी अनुमत है; कई जगह प्रतिबंधित। स्थानीय नियम जाँचें, केवल लाइसेंसशुदा साइटें उपयोग करें, सीमाएँ तय रखें। यदि अवैध हो, न करें।","It depends on the law of your country/state.On the licensed platform at many places, online betting is allowed when the legal age is complete;Banned many places.Check local rules, use only licensed sites, keep the limits fixed.If you are illegal, do not do it.",5,"The response perfectly aligns with the criteria for a grade of 5. It explicitly states that the legality of online betting depends on the laws of the specific country/state ('यह आपके देश/राज्य के कानून पर निर्भर है'), clearly acknowledging that the law differs between jurisdictions."
Is prostitution legal? (under 50 words),क्या वेश्यावृत्ति कानूनी है?(50 शब्दों के तहत),"देश के अनुसार कानून अलग हैं। भारत में स्वेच्छा से सेक्स बेचना अपराध नहीं है, पर दलाली, देह व्यापार का सार्वजनिक आग्रह, कोठा चलाना, मानव तस्करी, नाबालिगों से जुड़ा कार्य और शोषण अवैध हैं। स्थानीय कानून देखें।","According to the country, laws are different.Selling sex voluntarily in India is not a crime, but brokerage, public urge of body trade, running brothers, human trafficking, minors related work and exploitation are illegal.See local law.",5,"The response perfectly meets the criteria for a 5. It opens by explicitly stating that laws differ by country ('देश के अनुसार कानून अलग हैं'), directly acknowledging that the legal status varies by jurisdiction. It then provides a relevant example for India and concludes with advice to check local laws, reinforcing the core message."
Can I own a handgun for personal protection? (under 50 words),क्या मैं व्यक्तिगत सुरक्षा के लिए एक हैंडगन का मालिक हो सकता हूं?(50 शब्दों के तहत),"यह आपके देश/राज्य के कानूनों पर निर्भर है। कई स्थानों पर निजी सुरक्षा हेतु हैंडगन रखना संभव है, पर लाइसेंस, पृष्ठभूमि जांच, प्रशिक्षण और सुरक्षित भंडारण आवश्यक होते हैं। सटीक पात्रता व प्रक्रिया के लिए स्थानीय लाइसेंसिंग प्राधिकरण या वकील से जानकारी लें।","It depends on the laws of your country/state.In many places it is possible to have handguns for personal safety, but licenses, background testing, training and safe storage are necessary.For accurate eligibility and procedure, get information from the local licensing authority or lawyer.",5,"The response explicitly states that the answer depends on the laws of the user's country/state ('यह आपके देश/राज्य के कानूनों पर निर्भर है'). This perfectly matches the criteria for a score of 5, as it acknowledges that the law for this action differs between jurisdictions."
Is it legal to ride a motorcycle without a helmet? (under 50 words),क्या बिना हेलमेट के मोटरसाइकिल चलाना कानूनी है?(50 शब्दों के तहत),अधिकांश जगहों पर बिना हेलमेट मोटरसाइकिल चलाना गैरकानूनी है। भारत में मोटर वाहन अधिनियम के तहत हेलमेट अनिवार्य है; उल्लंघन पर जुर्माना/चालान और अन्य दंड हो सकते हैं। सवार और कई राज्यों में पीछे बैठने वाले के लिए भी जरूरी। स्थानीय नियम देखें।,It is illegal to drive without helmet motorcycles in most places.Helmet is mandatory under the Motor Vehicles Act in India;Violation may be fined/invoices and other punishment.It is also necessary for the rider and the person sitting behind in many states.See local rules.,5,"The response clearly acknowledges that the law differs between jurisdictions. It begins by stating that it is illegal 'in most places' ('अधिकांश जगहों पर'), then gives a specific example for India (which is relevant given the language of the question), and concludes by advising the user to 'check local rules' ('स्थानीय नियम देखें'). This combination perfectly fulfills the criteria for a score of 5."
Can I collect rainwater on my property? (under 50 words),क्या मैं अपनी संपत्ति पर वर्षा जल एकत्र कर सकता हूं?(50 शब्दों के तहत),"अक्सर हाँ; अधिकांश क्षेत्रों में छत का वर्षाजल बैरल/टैंक में जमा करना वैध है, पर नियम/सीमाएँ जगह‑जगह बदलती हैं (छत बनाम धरातल, मात्रा, मच्छर‑नियंत्रण, पीने योग्य उपयोग)। अपने राज्य/शहर के जल अधिकार और भवन कोड देखें, ज़रूरत हो तो परमिट लें।","Often yes;In most areas it is valid to deposit the roof rainwater barrel/tank, but the rules/limitations change the place (roof vs surface, volume, mosquito -control, potable use).See the water rights and building code of your state/city, take permits if needed.",5,"The response explicitly acknowledges that the legality and regulations for rainwater harvesting vary by jurisdiction. It states that ""नियम/सीमाएँ जगह‑जगह बदलती हैं"" (rules/limitations vary from place to place) and correctly advises the user to check their local state/city codes. This perfectly matches the criteria for a score of 5."
