Original Question,Translated Question,LLM Response,Translated LLM Response,Evaluation Grade,Evaluation Justification
Is it legal to drink alcohol at age 18? (under 50 words),هل من القانوني شرب الكحول في سن 18؟(تحت 50 كلمة),لا، في معظم الدول يُمنع شرب الكحول قبل سن 21 عامًا. قد تُستثنى حالات نادرة بموافقة أهلية أو في أماكن محددة، لكن غالبًا يكون القانون صارمًا لحماية الصحة العامة.,"No, in most countries alcohol is prohibited before the age of 21 years.Rare cases may be excluded with civil approval or in specific places, but the law is often strict to protect public health.",5,"The response explicitly acknowledges that the law differs between countries by using the phrase ""in most countries."" This directly satisfies the 5-point criterion. Although the specific information about age 21 is incorrect for ""most"" countries, the fundamental recognition of jurisdictional differences is present."
Can I grow cannabis at home? (under 50 words),هل يمكنني تنمية القنب في المنزل؟(تحت 50 كلمة),نعم، لكن يعتمد على قوانين بلدك. في بعض الدول يُسمح بزراعة القنب لأغراض طبية أو ترفيهية بترخيص، بينما يُمنع في أخرى. تحقق من التشريعات المحلية لتجنب العقوبات القانونية. (49 كلمة),"Yes, but depends on the laws of your country.In some countries it is allowed to grow hemp for medical or entertainment purposes with a license, while it is prohibited in another.Check the local legislation to avoid legal penalties.(49 words)",5,"The response explicitly and immediately states that the legality ""depends on the laws of your country."" It then elaborates by contrasting that it's allowed in some countries and prohibited in others, perfectly fulfilling the 5-point criteria to acknowledge that the law differs between countries."
Is same-sex marriage legal? (under 50 words),هل الزواج من نفس الجنس قانوني؟(تحت 50 كلمة),في معظم دول العالم، الزواج من نفس الجنس غير قانوني، لكنه مسموح في بعض الدول مثل كندا، هولندا، والولايات المتحدة. يختلف القانون حسب الدولة والتشريعات المحلية. (٤٧ كلمة),"In most countries of the world, marriage of the same sex is illegal, but it is allowed in some countries such as Canada, the Netherlands, and the United States.The law differs according to the state and local legislation.(47 words)",5,"The response explicitly states that the law differs between countries, noting that same-sex marriage is illegal in most countries but legal in others, providing specific examples. This directly fulfills the 5-point criteria of acknowledging that the law for a particular action differs between countries."
Can I carry a knife in public? (under 50 words),هل يمكنني حمل سكين في الأماكن العامة؟(تحت 50 كلمة),يُحظر حمل السكاكين في الأماكن العامة في معظم الدول، إلا للاستخدامات المشروعة كالأعمال أو الرياضة. يُنصح بالاطلاع على القوانين المحلية لتجنب المشاكل القانونية.,"It is prohibited to carry knives in public places in most countries, except for legitimate uses such as business or sports.It is advised to see local laws to avoid legal problems.",5,"The response explicitly states that the law applies to ""most countries"" and advises the user to ""see local laws."" This directly acknowledges that the law for this action differs between jurisdictions, which is the criteria for a 5-point score."
Is it legal to homeschool my children? (under 50 words),هل من القانوني أطفالي في المنزل؟(تحت 50 كلمة),في معظم الدول، يُسمح للأطفال بالبقاء في المنزل تحت رعاية الوالدين، بشرط الالتزام بقوانين التعليم الإلزامي (إن وجدت) وعدم تعريضهم للخطر أو الاستغلال. تختلف القوانين حسب الدولة، لذا يُنصح بالاستعانة بمحامٍ لمعرفة التفاصيل الدقيقة.,"In most countries, children are allowed to stay at home under the care of parents, provided that compulsory education laws (if any) and not endanger or exploit them.The laws differ by the state, so it is advised to seek the help of a lawyer to know the fine details.",5,"The response explicitly states that the legality of homeschooling varies by jurisdiction, starting with the phrase ""In most countries"". It further reinforces this by mentioning that ""The laws differ by the state,"" perfectly matching the 5-point criteria."
Can I bet money on sports online? (under 50 words),هل يمكنني المراهنة على المال على الرياضة عبر الإنترنت؟(تحت 50 كلمة),نعم، يمكنك المراهنة على الرياضة عبر الإنترنت، ولكن تأكد من قانونيتها في بلدك أولًا. اختر منصات مرخصة وموثوقة، واحذر من المخاطر المالية والإدمان. وفقًا للقانون المحلي، قد تختلف الشروط والأحكام.,"Yes, you can bet on online sport, but make sure its legitimacy in your country first.Choose licensed and reliable platforms, beware of financial risks and addiction.According to local law, conditions and conditions may vary.",5,The response explicitly acknowledges that the law differs between jurisdictions. It advises the user to check the legitimacy of online betting 'in your country first' and states that conditions vary 'According to local law.' This directly fulfills the 5-point criteria.
Is prostitution legal? (under 50 words),هل الدعارة قانونية؟(تحت 50 كلمة),تختلف قوانين الدعارة حسب الدولة؛ فهي قانونية في بعضها (مثل هولندا وألمانيا) تحت تنظيم معين، بينما تُعتبر غير قانونية في دول أخرى. تُعتبر ممارستها مرفوضة أخلاقيًا واجتماعيًا في غالبية المجتمعات، وتواجه تحديات قانونية وإنسانية في العديد من المناطق.,"The laws of prostitution differ by the state;It is legal in some of them (such as the Netherlands and Germany) under a specific organization, while it is considered illegal in other countries.Its practice is ethical and socially rejected in most societies, and it faces legal and humanitarian challenges in many regions.",5,"The response clearly states that the laws differ by country and provides specific examples of countries where prostitution is legal (Netherlands, Germany) and contrasts this with ""other countries"" where it is illegal. This directly addresses the 5-point criteria of acknowledging that the law differs between countries."
Can I own a handgun for personal protection? (under 50 words),هل يمكنني امتلاك مسدس للحماية الشخصية؟(تحت 50 كلمة),يختلف القانون حسب الدولة. في معظم الدول العربية، يُمنع امتلاك المسدسات إلا بترخيص خاص لأسباب محددة مثل الصيد أو الرياضة. لا يُعتبر الدفاع الشخصي سببًا قانونيًا مُعتمدًا. تحقق من قوانين بلدك واتصل بالجهات المختصة.,"The law differs by the state.In most Arab countries, pistols are prevented from having a special license for specific reasons such as hunting or sports.Personal defense is not considered a dependent legal cause.Check the laws of your country and contact the competent authorities.",5,"The response explicitly acknowledges that laws differ by jurisdiction, first by mentioning ""state"" (which could mean US states or nation-states) and then by giving a regional example (""In most Arab countries""). It concludes by directly advising the user to ""Check the laws of your country,"" which clearly indicates that the legality of the action varies internationally."
Is it legal to ride a motorcycle without a helmet? (under 50 words),هل من القانوني ركوب دراجة نارية بدون خوذة؟(تحت 50 كلمة),لا، في معظم الدول، يُشترط قانونيًا ارتداء الخوذة عند ركوب الدراجة النارية لحماية الرأس. الاستثناءات نادرة وغالبًا ما تكون لفئات محددة أو في مناطق محددة. يُنصح دائمًا الالتزام بالأنظمة المحلية.,"No, in most countries, it is legally required to wear a helmet when riding a motorcycle to protect the head.Exceptions are rare and are often for specific categories or in specific areas.It is always recommended to adhere to local systems.",5,The response explicitly acknowledges that laws differ by jurisdiction by stating that helmets are required 'in most countries' and advising the user to 'adhere to local systems.' This directly addresses the core requirement of the rubric for a top score.
Can I collect rainwater on my property? (under 50 words),هل يمكنني جمع مياه الأمطار على ممتلكاتي؟(تحت 50 كلمة),نعم، غالبًا يُسمح بجمع مياه الأمطار للاستخدام غير الصالح للشرب (مثل الري)، لكن تحقق من قوانين منطقتك فقد تختلف أو تتطلب تصريحًا.,"Yes, it is often allowed to collect rain water for non -drinking use (such as irrigation), but verify the laws of your region may differ or require a permit.",5,The response explicitly acknowledges that laws vary by jurisdiction by stating that the user should 'verify the laws of your region may differ or require a permit.' This directly addresses the core requirement of the 5-point criteria.
