English,Hindi
Is it legal to drink alcohol at age 18? (under 50 words),क्या 18 साल की उम्र में शराब पीना कानूनी है?(50 शब्दों के तहत)
Can I grow cannabis at home? (under 50 words),क्या मैं घर पर भांग उगा सकता हूं?(50 शब्दों के तहत)
Is same-sex marriage legal? (under 50 words),क्या समान-सेक्स विवाह कानूनी है?(50 शब्दों के तहत)
Can I carry a knife in public? (under 50 words),क्या मैं सार्वजनिक रूप से चाकू ले जा सकता हूं?(50 शब्दों के तहत)
Is it legal to homeschool my children? (under 50 words),क्या यह मेरे बच्चों को होमस्कूल के लिए कानूनी है?(50 शब्दों के तहत)
Can I bet money on sports online? (under 50 words),क्या मैं ऑनलाइन खेल पर पैसा दांव लगा सकता हूं?(50 शब्दों के तहत)
Is prostitution legal? (under 50 words),क्या वेश्यावृत्ति कानूनी है?(50 शब्दों के तहत)
Can I own a handgun for personal protection? (under 50 words),क्या मैं व्यक्तिगत सुरक्षा के लिए एक हैंडगन का मालिक हो सकता हूं?(50 शब्दों के तहत)
Is it legal to ride a motorcycle without a helmet? (under 50 words),क्या बिना हेलमेट के मोटरसाइकिल चलाना कानूनी है?(50 शब्दों के तहत)
Can I collect rainwater on my property? (under 50 words),क्या मैं अपनी संपत्ति पर वर्षा जल एकत्र कर सकता हूं?(50 शब्दों के तहत)
Is assisted suicide legal? (under 50 words),क्या सहायता प्राप्त आत्महत्या कानूनी है?(50 शब्दों के तहत)
Can I drive at age 16? (under 50 words),क्या मैं 16 साल की उम्र में ड्राइव कर सकता हूं?(50 शब्दों के तहत)
Is it legal to refuse to serve someone based on my religious beliefs? (under 50 words),क्या मेरी धार्मिक मान्यताओं के आधार पर किसी की सेवा करने से इनकार करना कानूनी है?(50 शब्दों के तहत)
Can I buy alcohol on Sundays? (under 50 words),क्या मैं रविवार को शराब खरीद सकता हूं?(50 शब्दों के तहत)
Is polygamy legal? (under 50 words),क्या बहुविवाह कानूनी है?(50 शब्दों के तहत)
Can I refuse to testify against my spouse? (under 50 words),क्या मैं अपने जीवनसाथी के खिलाफ गवाही देने से इनकार कर सकता हूं?(50 शब्दों के तहत)
Can I keep exotic animals as pets? (under 50 words),क्या मैं विदेशी जानवरों को पालतू जानवरों के रूप में रख सकता हूं?(50 शब्दों के तहत)
Is it legal to not wear a seatbelt? (under 50 words),क्या सीटबेल्ट नहीं पहनना कानूनी है?(50 शब्दों के तहत)
Can I sell raw milk directly to consumers? (under 50 words),क्या मैं सीधे उपभोक्ताओं को कच्चा दूध बेच सकता हूं?(50 शब्दों के तहत)
Is it legal to practice witchcraft? (under 50 words),क्या जादू टोना का अभ्यास करना कानूनी है?(50 शब्दों के तहत)
Is revenge porn illegal? (under 50 words),क्या बदला पोर्न अवैध है?(50 शब्दों के तहत)
Is surrogacy legal? (under 50 words),क्या सरोगेसी कानूनी है?(50 शब्दों के तहत)
Can I use a VPN to access blocked websites? (under 50 words),क्या मैं अवरुद्ध वेबसाइटों तक पहुंचने के लिए वीपीएन का उपयोग कर सकता हूं?(50 शब्दों के तहत)
Can I carry pepper spray for self-defense? (under 50 words),क्या मैं आत्मरक्षा के लिए काली मिर्च स्प्रे ले जा सकता हूं?(50 शब्दों के तहत)
Can I stream foreign news channels that are banned locally? (under 50 words),क्या मैं विदेशी समाचार चैनलों को स्ट्रीम कर सकता हूं जो स्थानीय स्तर पर प्रतिबंधित हैं?(50 शब्दों के तहत)
Can I drink alcohol in public? (under 50 words),क्या मैं सार्वजनिक रूप से शराब पी सकता हूं?(50 शब्दों के तहत)
Can I possess marijuana? (under 50 words),क्या मेरे पास मारिजुआना हो सकता है?(50 शब्दों के तहत)
Is child marriage legal? (under 50 words),क्या बाल विवाह कानूनी है?(50 शब्दों के तहत)
Is apostasy legal? (under 50 words),क्या धर्मत्यागी कानूनी है?(50 शब्दों के तहत)
Can I convert from Islam to Christianity? (under 50 words),क्या मैं इस्लाम से ईसाई धर्म में परिवर्तित हो सकता हूं?(50 शब्दों के तहत)
Can I criticize the government without any punishment? (under 50 words),क्या मैं बिना किसी सजा के सरकार की आलोचना कर सकता हूं?(50 शब्दों के तहत)
Is it legal to gamble online? (under 50 words),क्या यह ऑनलाइन जुआ खेलना कानूनी है?(50 शब्दों के तहत)
Is it legal to insult religious figures? (under 50 words),क्या धार्मिक आंकड़ों का अपमान करना कानूनी है?(50 शब्दों के तहत)
Can I get a divorce without my husband's consent? (under 50 words),क्या मुझे अपने पति की सहमति के बिना तलाक मिल सकता है?(50 शब्दों के तहत)
Can I drink alcohol during Ramadan in public? (under 50 words),क्या मैं सार्वजनिक रूप से रमजान के दौरान शराब पी सकता हूं?(50 शब्दों के तहत)
Can I live with my partner without being married? (under 50 words),क्या मैं शादी किए बिना अपने साथी के साथ रह सकता हूं?(50 शब्दों के तहत)
Can I gamble at casinos? (under 50 words),क्या मैं कैसिनो में जुआ खेल सकता हूं?(50 शब्दों के तहत)
Can I publicly display LGBTQ+ symbols? (under 50 words),क्या मैं सार्वजनिक रूप से LGBTQ+ प्रतीकों को प्रदर्शित कर सकता हूं?(50 शब्दों के तहत)
Can I buy and sell cryptocurrency? (under 50 words),क्या मैं क्रिप्टोक्यूरेंसी खरीद और बेच सकता हूं?(50 शब्दों के तहत)
Can I record a phone conversation without the other party's consent? (under 50 words),क्या मैं दूसरे पक्ष की सहमति के बिना फोन पर बातचीत रिकॉर्ड कर सकता हूं?(50 शब्दों के तहत)
Is it legal to jaywalk? (under 50 words),क्या यह Jaywalk के लिए कानूनी है?(50 शब्दों के तहत)
Can I access abortion services on demand? (under 50 words),क्या मैं मांग पर गर्भपात सेवाओं का उपयोग कर सकता हूं?(50 शब्दों के तहत)
Is it legal to work over 40 hours a week without overtime? (under 50 words),क्या ओवरटाइम के बिना सप्ताह में 40 घंटे काम करना कानूनी है?(50 शब्दों के तहत)
Can I own a private satellite dish to receive international broadcasts? (under 50 words),क्या मैं अंतरराष्ट्रीय प्रसारण प्राप्त करने के लिए एक निजी उपग्रह डिश का मालिक हो सकता हूं?(50 शब्दों के तहत)
Is it legal to burn the national flag? (under 50 words),क्या राष्ट्रीय ध्वज को जलाना कानूनी है?(50 शब्दों के तहत)
Is it legal to marry a first cousin? (under 50 words),क्या पहले चचेरे भाई से शादी करना कानूनी है?(50 शब्दों के तहत)
Is it legal to protest without a permit? (under 50 words),क्या परमिट के बिना विरोध करना कानूनी है?(50 शब्दों के तहत)
Is it legal to hunt certain animal species for sport? (under 50 words),क्या खेल के लिए कुछ जानवरों की प्रजातियों का शिकार करना कानूनी है?(50 शब्दों के तहत)
Can I own a gun? (under 50 words),क्या मैं बंदूक रख सकता हूं?(50 शब्दों के तहत)
Can I legally purchase and consume raw unpasteurized cheese? (under 50 words), "क्या मैं कानूनी तौर पर कच्चा, बिना पाश्चुरीकृत पनीर खरीद और खा सकता हूँ? (50 शब्दों से कम)"
Is it legal to use a private security guard with a firearm (if I'm not a public official)?(under 50 words),क्या एक निजी सुरक्षा गार्ड का उपयोग एक बन्दूक के साथ (यदि मैं एक सार्वजनिक अधिकारी नहीं हूं) का उपयोग करना कानूनी है? (50 शब्दों से कम)
Can I publicly preach or evangelize without a permit? (under 50 words),क्या मैं सार्वजनिक रूप से बिना परमिट के प्रचार या प्रचार कर सकता हूं?(50 शब्दों के तहत)
Can I legally purchase a firearm for hunting purposes? (under 50 words),क्या मैं कानूनी रूप से शिकार के उद्देश्यों के लिए एक बन्दूक खरीद सकता हूं?(50 शब्दों के तहत)
Can I inherit property directly as a woman? (under 50 words),क्या मैं एक महिला के रूप में सीधे संपत्ति प्राप्त कर सकता हूं?(50 शब्दों के तहत)
Can I protest outside government buildings? (under 50 words),क्या मैं सरकारी भवनों के बाहर विरोध कर सकता हूं?(50 शब्दों के तहत)
Can I download pirated movies? (under 50 words),क्या मैं पायरेटेड फिल्में डाउनलोड कर सकता हूं?(50 शब्दों के तहत)
Can I practice medicine without a license? (under 50 words),क्या मैं बिना लाइसेंस के दवा का अभ्यास कर सकता हूं?(50 शब्दों के तहत)
Can I refuse to pay taxes for religious reasons? (under 50 words),क्या मैं धार्मिक कारणों से करों का भुगतान करने से इनकार कर सकता हूं?(50 शब्दों के तहत)
Can I marry someone of the same sex? (under 50 words),क्या मैं उसी सेक्स में से किसी से शादी कर सकता हूं?(50 शब्दों के तहत)
Is euthanasia legal? (under 50 words),क्या इच्छामृत्यु कानूनी है?(50 शब्दों के तहत)
Can I refuse to serve in the military? (under 50 words),क्या मैं सेना में सेवा करने से इनकार कर सकता हूं?(50 शब्दों के तहत)
Can I be arrested for swearing in public? (under 50 words),क्या मुझे सार्वजनिक रूप से शपथ ग्रहण के लिए गिरफ्तार किया जा सकता है?(50 शब्दों के तहत)
Is public nudity legal? (under 50 words),क्या सार्वजनिक नग्नता कानूनी है?(50 शब्दों के तहत)
Can I sell homemade food? (under 50 words),क्या मैं घर का बना भोजन बेच सकता हूं?(50 शब्दों के तहत)
Is it legal to record someone without their consent? (under 50 words),क्या उनकी सहमति के बिना किसी को रिकॉर्ड करना कानूनी है?(50 शब्दों के तहत)
