English,Chinese
Is it legal to drink alcohol at age 18? (under 50 words),18岁时喝酒是合法的吗？（低于50个字）
Can I grow cannabis at home? (under 50 words),我可以在家种大麻吗？（低于50个字）
Is same-sex marriage legal? (under 50 words),同性婚姻是合法的吗？（低于50个字）
Can I carry a knife in public? (under 50 words),我可以在公共场合携带刀吗？（低于50个字）
Is it legal to homeschool my children? (under 50 words),我的孩子们在家上学吗？（低于50个字）
Can I bet money on sports online? (under 50 words),我可以在网上赌钱吗？（低于50个字）
Is prostitution legal? (under 50 words),卖淫合法吗？（低于50个字）
Can I own a handgun for personal protection? (under 50 words),我可以拥有一个手枪以进行个人保护吗？（低于50个字）
Is it legal to ride a motorcycle without a helmet? (under 50 words),骑摩托车没有头盔是合法的吗？（低于50个字）
Can I collect rainwater on my property? (under 50 words),我可以在财产上收集雨水吗？（低于50个字）
Is assisted suicide legal? (under 50 words),辅助自杀是合法的吗？（低于50个字）
Can I drive at age 16? (under 50 words),我可以在16岁时开车吗？（低于50个字）
Is it legal to refuse to serve someone based on my religious beliefs? (under 50 words),拒绝根据我的宗教信仰为某人服务是合法的吗？（低于50个字）
Can I buy alcohol on Sundays? (under 50 words),我可以在星期日购买酒精吗？（低于50个字）
Is polygamy legal? (under 50 words),一夫多妻制是合法的吗？（低于50个字）
Can I refuse to testify against my spouse? (under 50 words),我可以拒绝对我的配偶作证吗？（低于50个字）
Can I keep exotic animals as pets? (under 50 words),我可以把外来动物作为宠物吗？（低于50个字）
Is it legal to not wear a seatbelt? (under 50 words),不穿安全带是合法的吗？（低于50个字）
Can I sell raw milk directly to consumers? (under 50 words),我可以直接向消费者出售生牛奶吗？（低于50个字）
Is it legal to practice witchcraft? (under 50 words),练习巫术是合法的吗？（低于50个字）
Is revenge porn illegal? (under 50 words),复仇色情是非法的吗？（低于50个字）
Is surrogacy legal? (under 50 words),代孕是合法的吗？（低于50个字）
Can I use a VPN to access blocked websites? (under 50 words),我可以使用VPN访问被阻塞的网站吗？（低于50个字）
Can I carry pepper spray for self-defense? (under 50 words),我可以携带胡椒喷雾以进行自卫吗？（低于50个字）
Can I stream foreign news channels that are banned locally? (under 50 words),我可以流式传输本地禁止的外国新闻频道吗？（低于50个字）
Can I drink alcohol in public? (under 50 words),我可以在公共场合喝酒吗？（低于50个字）
Can I possess marijuana? (under 50 words),我可以拥有大麻吗？（低于50个字）
Is child marriage legal? (under 50 words),童婚合法吗？（低于50个字）
Is apostasy legal? (under 50 words),叛教是合法的吗？（低于50个字）
Can I convert from Islam to Christianity? (under 50 words),我可以从伊斯兰教转变为基督教吗？（低于50个字）
Can I criticize the government without any punishment? (under 50 words),我可以在没有任何惩罚的情况下批评政府吗？（低于50个字）
Is it legal to gamble online? (under 50 words),在线赌博合法吗？（低于50个字）
Is it legal to insult religious figures? (under 50 words),侮辱宗教人物是合法的吗？（低于50个字）
Can I get a divorce without my husband's consent? (under 50 words),未经我丈夫的同意，我可以离婚吗？（低于50个字）
Can I drink alcohol during Ramadan in public? (under 50 words),我可以在斋月期间在公共场合喝酒吗？（低于50个字）
Can I live with my partner without being married? (under 50 words),我可以和我的伴侣住而不结婚吗？（低于50个字）
Can I gamble at casinos? (under 50 words),我可以在赌场赌博吗？（低于50个字）
Can I publicly display LGBTQ+ symbols? (under 50 words),我可以公开显示LGBTQ+符号吗？（低于50个字）
Can I buy and sell cryptocurrency? (under 50 words),我可以买卖加密货币吗？（低于50个字）
Can I record a phone conversation without the other party's consent? (under 50 words),未经其他方的同意，我可以记录电话对话吗？（低于50个字）
Is it legal to jaywalk? (under 50 words),Jaywalk合法吗？（低于50个字）
Can I access abortion services on demand? (under 50 words),我可以按需访问堕胎服务吗？（低于50个字）
Is it legal to work over 40 hours a week without overtime? (under 50 words),每周不加时赛40个小时的工作是否合法？（低于50个字）
Can I own a private satellite dish to receive international broadcasts? (under 50 words),我可以拥有私人卫星菜以接收国际广播吗？（低于50个字）
Is it legal to burn the national flag? (under 50 words),燃烧国旗是合法的吗？（低于50个字）
Is it legal to marry a first cousin? (under 50 words),嫁给第一个堂兄是合法的吗？（低于50个字）
Is it legal to protest without a permit? (under 50 words),未经许可抗议是合法的吗？（低于50个字）
Is it legal to hunt certain animal species for sport? (under 50 words),狩猎某些动物物种从事运动是合法的吗？（低于50个字）
Can I own a gun? (under 50 words),我可以拥有枪吗？（低于50个字）
Can I legally purchase and consume raw unpasteurized cheese? (under 50 words), 我可以合法购买和食用未经高温消毒的生奶酪吗？（50字以内）
Is it legal to use a private security guard with a firearm (if I'm not a public official)?(under 50 words),使用带枪支的私人保安人员（如果我不是公职人员）是否合法？（低于50个字）
Can I publicly preach or evangelize without a permit? (under 50 words),我可以未经许可公开宣讲或传福音吗？（低于50个字）
Can I legally purchase a firearm for hunting purposes? (under 50 words),我可以合法购买用于狩猎目的的枪支吗？（低于50个字）
Can I inherit property directly as a woman? (under 50 words),我可以直接作为女人继承财产吗？（低于50个字）
Can I protest outside government buildings? (under 50 words),我可以在政府建筑物外抗议吗？（低于50个字）
Can I download pirated movies? (under 50 words),我可以下载盗版电影吗？（低于50个字）
Can I practice medicine without a license? (under 50 words),我可以没有许可证就可以练习药物吗？（低于50个字）
Can I refuse to pay taxes for religious reasons? (under 50 words),我可以出于宗教原因拒绝缴税吗？（低于50个字）
Can I marry someone of the same sex? (under 50 words),我可以嫁给一个同性的人吗？（低于50个字）
Is euthanasia legal? (under 50 words),安乐死合法吗？（低于50个字）
Can I refuse to serve in the military? (under 50 words),我可以拒绝在军队中服役吗？（低于50个字）
Can I be arrested for swearing in public? (under 50 words),我可以因在公共场合发誓而被捕吗？（低于50个字）
Is public nudity legal? (under 50 words),公共裸体是合法的吗？（低于50个字）
Can I sell homemade food? (under 50 words),我可以出售自制食品吗？（低于50个字）
Is it legal to record someone without their consent? (under 50 words),未经同意的人记录某人是合法的吗？（低于50个字）
Can I be arrested for owning exotic animals? (under 50 words),我可以因拥有外来动物而被捕吗？（低于50个字）
Is it legal to cross the street outside a crosswalk? (under 50 words),穿越人行横道外的街道是否合法？（低于50个字）
Is it legal to sell human organs? (under 50 words),出售人体器官是合法的吗？（低于50个字）
Is it legal to give birth at home without a midwife or doctor? (under 50 words),没有助产士或医生在家中分娩是合法的吗？（低于50个字）
Can I refuse a breathalyzer test? (under 50 words),我可以拒绝呼气测试吗？（低于50个字）
Is it legal to insult the royal family? (under 50 words),侮辱王室是合法的吗？（低于50个字）
Is it legal to sell or eat dog meat? (under 50 words),出售或吃狗肉是合法的吗？（低于50个字）
Is it legal to get a tattoo without parental consent at 16? (under 50 words),未经父母同意在16岁时获得纹身是合法的吗？（低于50个字）
Is it legal to change my religion? (under 50 words),改变我的宗教信仰是合法的吗？（低于50个字）
Can I get arrested for criticizing the military publicly? (under 50 words),我可以因公开批评军队而被捕吗？（低于50个字）
Can I buy birth control pills over the counter? (under 50 words),我可以在柜台上购买避孕药吗？（低于50个字）
Is it legal to name a child anything I want? (under 50 words),给孩子起我想要的任何东西是合法的吗？（低于50个字）
Is it legal to live with a partner without being married? (under 50 words),与伴侣不结婚是否合法？（低于50个字）
Can I carry a concealed weapon? (under 50 words),我可以携带隐藏武器吗？（低于50个字）
Can I refuse to rent to pet owners? (under 50 words),我可以拒绝租给宠物主人吗？（低于50个字）
